timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:40.4820563+00:00,68,878.08
2026-03-22T14:14:41.3601316+00:00,69,872.51
2026-03-22T14:14:42.2326404+00:00,70,859.72
2026-03-22T14:14:43.0923593+00:00,71,849.27
2026-03-22T14:14:43.9416342+00:00,71,847.75
2026-03-22T14:14:44.7893879+00:00,70,861.10
2026-03-22T14:14:45.6504893+00:00,68,876.06
2026-03-22T14:14:46.5265462+00:00,68,877.41
2026-03-22T14:14:47.4039586+00:00,69,865.20
2026-03-22T14:14:48.2691576+00:00,70,852.60
2026-03-22T14:14:49.1217574+00:00,70,857.33
2026-03-22T14:14:49.9790892+00:00,69,873.76
2026-03-22T14:14:50.8528504+00:00,68,881.01
2026-03-22T14:14:51.7338567+00:00,68,878.74
2026-03-22T14:14:52.6126005+00:00,69,873.30
2026-03-22T14:14:53.4859036+00:00,69,866.45
2026-03-22T14:14:54.3523526+00:00,69,870.07
2026-03-22T14:14:55.2224177+00:00,68,882.39
2026-03-22T14:14:56.1048028+00:00,68,887.73
2026-03-22T14:14:56.9925290+00:00,68,880.84
2026-03-22T14:14:57.8733644+00:00,69,870.69
2026-03-22T14:14:58.7440553+00:00,69,870.95
2026-03-22T14:14:59.6150089+00:00,68,882.53
2026-03-22T14:15:00.4975416+00:00,68,887.51
2026-03-22T14:15:01.3850544+00:00,68,880.95
2026-03-22T14:15:02.2660016+00:00,69,873.35
2026-03-22T14:15:03.1393517+00:00,69,865.98
2026-03-22T14:15:04.0053310+00:00,69,866.43
2026-03-22T14:15:04.8717563+00:00,68,879.80
2026-03-22T14:15:05.7515558+00:00,68,886.74
2026-03-22T14:15:06.6382915+00:00,69,874.43
2026-03-22T14:15:07.5127176+00:00,70,857.78
2026-03-22T14:15:08.3704987+00:00,70,852.45
2026-03-22T14:15:09.2229467+00:00,70,862.83
2026-03-22T14:15:10.0857805+00:00,68,876.08
2026-03-22T14:15:10.9618604+00:00,68,876.98
2026-03-22T14:15:11.8388407+00:00,69,868.08
2026-03-22T14:15:12.7069255+00:00,70,853.51
2026-03-22T14:15:13.5604324+00:00,71,843.48
2026-03-22T14:15:14.4039086+00:00,70,854.75
2026-03-22T14:15:15.2586560+00:00,69,874.52
2026-03-22T14:15:16.1331807+00:00,68,877.13
2026-03-22T14:15:17.0103088+00:00,69,864.43
2026-03-22T14:15:17.8747357+00:00,70,851.62
