timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:40.8569506+00:00,63,957.59
2026-03-22T14:14:41.8145441+00:00,63,954.43
2026-03-22T14:14:42.7689757+00:00,64,933.61
2026-03-22T14:14:43.7025855+00:00,66,905.68
2026-03-22T14:14:44.6082632+00:00,69,872.23
2026-03-22T14:14:45.4804899+00:00,71,843.20
2026-03-22T14:14:46.3236883+00:00,72,828.30
2026-03-22T14:14:47.1519834+00:00,72,828.74
2026-03-22T14:14:47.9807198+00:00,71,845.04
2026-03-22T14:14:48.8257553+00:00,68,879.53
2026-03-22T14:14:49.7052835+00:00,65,924.49
2026-03-22T14:14:50.6297758+00:00,63,957.93
2026-03-22T14:14:51.5877043+00:00,62,967.06
2026-03-22T14:14:52.5547657+00:00,63,959.15
2026-03-22T14:14:53.5139191+00:00,64,936.12
2026-03-22T14:14:54.4500404+00:00,67,899.22
2026-03-22T14:14:55.3492559+00:00,69,864.13
2026-03-22T14:14:56.2133897+00:00,71,843.53
2026-03-22T14:14:57.0569189+00:00,71,839.88
2026-03-22T14:14:57.8967949+00:00,70,856.64
2026-03-22T14:14:58.7534384+00:00,67,895.75
2026-03-22T14:14:59.6491836+00:00,64,942.48
2026-03-22T14:15:00.5916618+00:00,62,970.09
2026-03-22T14:15:01.5617543+00:00,62,971.47
2026-03-22T14:15:02.5332251+00:00,63,958.46
2026-03-22T14:15:03.4916830+00:00,64,933.62
2026-03-22T14:15:04.4252987+00:00,67,900.01
2026-03-22T14:15:05.3253098+00:00,69,867.72
2026-03-22T14:15:06.1930295+00:00,71,841.43
2026-03-22T14:15:07.0344619+00:00,73,826.73
2026-03-22T14:15:07.8611897+00:00,72,836.06
2026-03-22T14:15:08.6972480+00:00,69,873.36
2026-03-22T14:15:09.5706124+00:00,65,921.36
2026-03-22T14:15:10.4919728+00:00,63,953.43
2026-03-22T14:15:11.4454043+00:00,63,959.71
2026-03-22T14:15:12.4051185+00:00,63,945.02
2026-03-22T14:15:13.3501336+00:00,66,914.99
2026-03-22T14:15:14.2651230+00:00,68,881.94
2026-03-22T14:15:15.1470669+00:00,70,855.52
2026-03-22T14:15:16.0025844+00:00,72,834.15
2026-03-22T14:15:16.8367303+00:00,73,820.62
2026-03-22T14:15:17.6573473+00:00,73,827.24
2026-03-22T14:15:18.4845921+00:00,70,858.37
2026-03-22T14:15:19.3429581+00:00,67,901.28
2026-03-22T14:15:20.2442386+00:00,64,938.10
2026-03-22T14:15:21.1823356+00:00,63,959.91
2026-03-22T14:15:22.1422460+00:00,62,961.13
2026-03-22T14:15:23.1033731+00:00,64,938.52
2026-03-22T14:15:24.0418977+00:00,66,904.60
2026-03-22T14:15:24.9464929+00:00,69,873.33
2026-03-22T14:15:25.8198256+00:00,71,847.37
2026-03-22T14:15:26.6671955+00:00,72,833.30
2026-03-22T14:15:27.5004979+00:00,71,842.87
2026-03-22T14:15:28.3433724+00:00,68,876.32
2026-03-22T14:15:29.2196901+00:00,65,918.77
2026-03-22T14:15:30.1384569+00:00,63,953.67
2026-03-22T14:15:31.0921237+00:00,62,973.08
2026-03-22T14:15:32.0652029+00:00,62,971.80
2026-03-22T14:15:33.0370042+00:00,63,950.46
2026-03-22T14:15:33.9874643+00:00,65,921.29
2026-03-22T14:15:34.9087593+00:00,67,889.83
2026-03-22T14:15:35.7985872+00:00,70,855.81
2026-03-22T14:15:36.6544008+00:00,72,832.40
2026-03-22T14:15:37.4868008+00:00,72,835.60
2026-03-22T14:15:38.3224057+00:00,69,865.77
2026-03-22T14:15:39.1881763+00:00,66,909.03
2026-03-22T14:15:40.0972077+00:00,63,947.82
2026-03-22T14:15:41.0450248+00:00,62,967.27
2026-03-22T14:15:42.0122961+00:00,63,958.32
2026-03-22T14:15:42.9706159+00:00,65,929.60
2026-03-22T14:15:43.9002173+00:00,67,900.47
2026-03-22T14:15:44.8006844+00:00,69,873.53
2026-03-22T14:15:45.6742102+00:00,71,843.98
2026-03-22T14:15:46.5181901+00:00,73,821.55
2026-03-22T14:15:47.3397357+00:00,73,820.37
2026-03-22T14:15:48.1601025+00:00,71,842.46
2026-03-22T14:15:49.0025597+00:00,68,879.55
2026-03-22T14:15:49.8821102+00:00,65,921.03
2026-03-22T14:15:50.8031426+00:00,63,953.70
2026-03-22T14:15:51.7568402+00:00,62,960.39
2026-03-22T14:15:52.7172263+00:00,64,939.64
2026-03-22T14:15:53.6568694+00:00,66,910.15
2026-03-22T14:15:54.5670179+00:00,68,880.00
2026-03-22T14:15:55.4470176+00:00,71,849.50
2026-03-22T14:15:56.2965196+00:00,72,829.84
2026-03-22T14:15:57.1263645+00:00,72,832.40
2026-03-22T14:15:57.9587635+00:00,70,855.64
2026-03-22T14:15:58.8144044+00:00,67,890.65
2026-03-22T14:15:59.7050555+00:00,65,930.16
2026-03-22T14:16:00.6352105+00:00,62,963.73
2026-03-22T14:16:01.5989371+00:00,62,974.21
2026-03-22T14:16:02.5731512+00:00,62,960.63
2026-03-22T14:16:03.5337768+00:00,64,937.90
2026-03-22T14:16:04.4716777+00:00,66,906.97
2026-03-22T14:16:05.3786442+00:00,69,868.96
2026-03-22T14:16:06.2476019+00:00,71,841.63
2026-03-22T14:16:07.0892280+00:00,72,838.44
2026-03-22T14:16:07.9276726+00:00,70,858.02
2026-03-22T14:16:08.7856887+00:00,67,893.99
2026-03-22T14:16:09.6796824+00:00,64,938.01
2026-03-22T14:16:10.6176945+00:00,62,969.94
2026-03-22T14:16:11.5876354+00:00,62,969.43
2026-03-22T14:16:12.5570622+00:00,63,947.65
2026-03-22T14:16:13.5047119+00:00,65,923.81
2026-03-22T14:16:14.4285257+00:00,67,894.93
2026-03-22T14:16:15.3234552+00:00,70,860.36
2026-03-22T14:16:16.1838109+00:00,72,833.39
2026-03-22T14:16:17.0172042+00:00,73,823.54
2026-03-22T14:16:17.8407488+00:00,72,832.78
2026-03-22T14:16:18.6735261+00:00,70,862.69
2026-03-22T14:16:19.5362188+00:00,66,908.76
2026-03-22T14:16:20.4449756+00:00,63,948.95
2026-03-22T14:16:21.3939261+00:00,63,959.06
2026-03-22T14:16:22.3529899+00:00,64,943.81
2026-03-22T14:16:23.2967957+00:00,65,918.88
2026-03-22T14:16:24.2156763+00:00,68,886.89
2026-03-22T14:16:25.1025660+00:00,70,854.12
2026-03-22T14:16:25.9566811+00:00,72,832.71
2026-03-22T14:16:26.7893929+00:00,73,826.68
2026-03-22T14:16:27.6160721+00:00,72,835.48
2026-03-22T14:16:28.4515497+00:00,70,862.21
2026-03-22T14:16:29.3137602+00:00,66,905.14
2026-03-22T14:16:30.2189015+00:00,63,946.33
2026-03-22T14:16:31.1652304+00:00,62,965.81
2026-03-22T14:16:32.1310368+00:00,62,964.51
2026-03-22T14:16:33.0955422+00:00,63,948.39
2026-03-22T14:16:34.0439279+00:00,65,916.10
2026-03-22T14:16:34.9600252+00:00,68,878.16
2026-03-22T14:16:35.8381886+00:00,71,850.84
2026-03-22T14:16:36.6890315+00:00,71,839.46
2026-03-22T14:16:37.5284908+00:00,71,846.59
2026-03-22T14:16:38.3750784+00:00,68,876.83
2026-03-22T14:16:39.2519099+00:00,65,923.28
2026-03-22T14:16:40.1751928+00:00,62,961.51
2026-03-22T14:16:41.1367075+00:00,62,973.33
2026-03-22T14:16:42.1100336+00:00,62,965.48
2026-03-22T14:16:43.0755087+00:00,63,945.72
2026-03-22T14:16:44.0212334+00:00,66,914.99
2026-03-22T14:16:44.9362198+00:00,68,881.44
2026-03-22T14:16:45.8176567+00:00,70,852.16
2026-03-22T14:16:46.6698158+00:00,72,830.86
2026-03-22T14:16:47.5006764+00:00,72,828.41
2026-03-22T14:16:48.3290888+00:00,70,854.36
2026-03-22T14:16:49.1834439+00:00,67,900.52
2026-03-22T14:16:50.0839624+00:00,64,942.13
2026-03-22T14:16:51.0260912+00:00,63,959.76
2026-03-22T14:16:51.9858516+00:00,63,953.47
2026-03-22T14:16:52.9393253+00:00,65,929.19
2026-03-22T14:16:53.8685129+00:00,67,896.02
2026-03-22T14:16:54.7645352+00:00,69,866.45
2026-03-22T14:16:55.6309884+00:00,71,842.91
2026-03-22T14:16:56.4738964+00:00,73,824.69
2026-03-22T14:16:57.2985871+00:00,73,821.25
2026-03-22T14:16:58.1198402+00:00,71,842.04
2026-03-22T14:16:58.9618810+00:00,68,881.86
2026-03-22T14:16:59.8437426+00:00,65,923.49
2026-03-22T14:17:00.7672328+00:00,63,952.70
2026-03-22T14:17:01.7199309+00:00,62,963.64
2026-03-22T14:17:02.6835746+00:00,63,951.18
2026-03-22T14:17:03.6347560+00:00,65,920.07
2026-03-22T14:17:04.5548231+00:00,68,886.50
2026-03-22T14:17:05.4413194+00:00,70,857.75
2026-03-22T14:17:06.2990720+00:00,72,837.19
2026-03-22T14:17:07.1362572+00:00,72,835.42
2026-03-22T14:17:07.9716765+00:00,70,859.23
2026-03-22T14:17:08.8309080+00:00,67,900.27
2026-03-22T14:17:09.7311739+00:00,64,940.41
2026-03-22T14:17:10.6715796+00:00,62,966.98
2026-03-22T14:17:11.6385552+00:00,62,975.22
2026-03-22T14:17:12.6137771+00:00,62,961.78
2026-03-22T14:17:13.5755561+00:00,64,934.21
2026-03-22T14:17:14.5097628+00:00,66,903.64
2026-03-22T14:17:15.4134038+00:00,69,870.28
2026-03-22T14:17:16.2836824+00:00,71,840.08
2026-03-22T14:17:17.1237598+00:00,72,830.29
2026-03-22T14:17:17.9540508+00:00,71,849.76
2026-03-22T14:17:18.8038123+00:00,67,889.90
2026-03-22T14:17:19.6937162+00:00,64,932.58
2026-03-22T14:17:20.6262983+00:00,62,961.74
2026-03-22T14:17:21.5880362+00:00,62,965.68
2026-03-22T14:17:22.5537138+00:00,64,943.12
2026-03-22T14:17:23.4968362+00:00,66,912.25
2026-03-22T14:17:24.4090848+00:00,68,885.37
2026-03-22T14:17:25.2944589+00:00,70,857.20
2026-03-22T14:17:26.1516596+00:00,72,829.62
2026-03-22T14:17:26.9812767+00:00,73,817.83
2026-03-22T14:17:27.7991087+00:00,72,830.61
2026-03-22T14:17:28.6297198+00:00,70,862.57
2026-03-22T14:17:29.4922917+00:00,66,903.02
2026-03-22T14:17:30.3953082+00:00,64,941.48
2026-03-22T14:17:31.3367849+00:00,62,961.55
2026-03-22T14:17:32.2983358+00:00,63,950.96
2026-03-22T14:17:33.2492982+00:00,65,923.08
2026-03-22T14:17:34.1723771+00:00,67,893.71
2026-03-22T14:17:35.0660878+00:00,70,862.86
2026-03-22T14:17:35.9289459+00:00,72,836.27
2026-03-22T14:17:36.7652129+00:00,72,828.41
2026-03-22T14:17:37.5936210+00:00,71,843.76
2026-03-22T14:17:38.4373796+00:00,69,874.43
2026-03-22T14:17:39.3118087+00:00,66,912.38
2026-03-22T14:17:40.2241899+00:00,63,950.78
2026-03-22T14:17:41.1749715+00:00,62,973.23
2026-03-22T14:17:42.1482057+00:00,62,968.30
2026-03-22T14:17:43.1165036+00:00,63,948.54
2026-03-22T14:17:44.0650395+00:00,65,922.06
2026-03-22T14:17:44.9871035+00:00,68,885.42
2026-03-22T14:17:45.8725273+00:00,71,850.65
2026-03-22T14:17:46.7231804+00:00,72,836.53
2026-03-22T14:17:47.5597131+00:00,71,846.87
2026-03-22T14:17:48.4065801+00:00,68,876.07
2026-03-22T14:17:49.2826505+00:00,65,918.38
2026-03-22T14:17:50.2010273+00:00,63,959.32
2026-03-22T14:17:51.1603510+00:00,62,973.70
2026-03-22T14:17:52.1340460+00:00,63,958.10
2026-03-22T14:17:53.0921505+00:00,64,934.57
2026-03-22T14:17:54.0267243+00:00,66,908.67
2026-03-22T14:17:54.9353962+00:00,69,875.18
2026-03-22T14:17:55.8105747+00:00,71,843.28
2026-03-22T14:17:56.6538585+00:00,73,825.66
2026-03-22T14:17:57.4795218+00:00,73,826.18
2026-03-22T14:17:58.3057065+00:00,71,846.95
2026-03-22T14:17:59.1526536+00:00,68,888.00
2026-03-22T14:18:00.0406541+00:00,64,934.45
2026-03-22T14:18:00.9751036+00:00,63,958.91
2026-03-22T14:18:01.9340112+00:00,63,952.58
2026-03-22T14:18:02.8865884+00:00,64,930.82
2026-03-22T14:18:03.8174034+00:00,67,901.49
2026-03-22T14:18:04.7188894+00:00,69,867.55
2026-03-22T14:18:05.5864380+00:00,71,840.37
2026-03-22T14:18:06.4268100+00:00,72,827.71
2026-03-22T14:18:07.2545230+00:00,72,829.68
2026-03-22T14:18:08.0841995+00:00,71,848.37
2026-03-22T14:18:08.9325734+00:00,68,885.62
2026-03-22T14:18:09.8181962+00:00,65,930.16
2026-03-22T14:18:10.7483574+00:00,62,960.21
2026-03-22T14:18:11.7085626+00:00,62,966.94
2026-03-22T14:18:12.6755042+00:00,63,957.11
2026-03-22T14:18:13.6326120+00:00,64,931.56
2026-03-22T14:18:14.5641765+00:00,67,894.21
2026-03-22T14:18:15.4583828+00:00,70,861.08
2026-03-22T14:18:16.3194585+00:00,71,842.34
2026-03-22T14:18:17.1617950+00:00,71,840.77
2026-03-22T14:18:18.0025619+00:00,70,860.93
2026-03-22T14:18:18.8634930+00:00,67,902.16
2026-03-22T14:18:19.7656504+00:00,63,947.07
2026-03-22T14:18:20.7127188+00:00,62,971.24
2026-03-22T14:18:21.6839601+00:00,62,970.42
2026-03-22T14:18:22.6543759+00:00,63,955.65
2026-03-22T14:18:23.6100292+00:00,65,929.58
2026-03-22T14:18:24.5396096+00:00,67,896.21
2026-03-22T14:18:25.4358160+00:00,69,864.42
2026-03-22T14:18:26.3002385+00:00,72,838.63
2026-03-22T14:18:27.1388641+00:00,73,826.44
2026-03-22T14:18:27.9653062+00:00,71,839.59
2026-03-22T14:18:28.8048935+00:00,68,878.90
2026-03-22T14:18:29.6837942+00:00,65,926.08
2026-03-22T14:18:30.6098700+00:00,63,955.60
2026-03-22T14:18:31.5654732+00:00,63,958.83
2026-03-22T14:18:32.5243058+00:00,64,941.80
2026-03-22T14:18:33.4661092+00:00,66,911.11
2026-03-22T14:18:34.3772177+00:00,68,878.66
2026-03-22T14:18:35.2558796+00:00,70,852.47
2026-03-22T14:18:36.1083494+00:00,72,831.47
2026-03-22T14:18:36.9398184+00:00,73,820.11
2026-03-22T14:18:37.7599247+00:00,72,829.64
2026-03-22T14:18:38.5895663+00:00,70,862.76
2026-03-22T14:18:39.4523288+00:00,66,906.36
2026-03-22T14:18:40.3586918+00:00,64,942.09
2026-03-22T14:18:41.3007863+00:00,62,961.35
2026-03-22T14:18:42.2621327+00:00,63,959.70
2026-03-22T14:18:43.2218356+00:00,64,934.94
2026-03-22T14:18:44.1567762+00:00,67,900.34
2026-03-22T14:18:45.0571164+00:00,69,869.25
2026-03-22T14:18:45.9263639+00:00,71,844.52
2026-03-22T14:18:46.7708882+00:00,72,833.07
2026-03-22T14:18:47.6039548+00:00,71,845.56
2026-03-22T14:18:48.4495156+00:00,68,881.36
2026-03-22T14:18:49.3308785+00:00,65,924.39
2026-03-22T14:18:50.2552689+00:00,63,957.36
2026-03-22T14:18:51.2126264+00:00,62,974.12
2026-03-22T14:18:52.1867482+00:00,62,970.32
2026-03-22T14:18:53.1570693+00:00,63,946.93
2026-03-22T14:18:54.1039963+00:00,65,917.02
2026-03-22T14:18:55.0210149+00:00,68,885.42
2026-03-22T14:18:55.9064346+00:00,70,852.22
2026-03-22T14:18:56.7586591+00:00,72,831.23
2026-03-22T14:18:57.5898888+00:00,72,838.08
2026-03-22T14:18:58.4279731+00:00,69,871.44
2026-03-22T14:18:59.2994125+00:00,66,914.97
2026-03-22T14:19:00.2143781+00:00,63,951.34
2026-03-22T14:19:01.1657140+00:00,62,967.69
2026-03-22T14:19:02.1334039+00:00,63,955.36
2026-03-22T14:19:03.0887650+00:00,65,925.26
2026-03-22T14:19:04.0140296+00:00,67,896.92
2026-03-22T14:19:04.9109521+00:00,69,870.35
2026-03-22T14:19:05.7813063+00:00,71,840.83
2026-03-22T14:19:06.6221384+00:00,73,820.04
2026-03-22T14:19:07.4421773+00:00,73,822.23
2026-03-22T14:19:08.2644056+00:00,71,846.97
2026-03-22T14:19:09.1113770+00:00,68,884.48
2026-03-22T14:19:09.9958520+00:00,65,925.41
2026-03-22T14:19:10.9212574+00:00,63,956.22
2026-03-22T14:19:11.8774765+00:00,63,958.82
2026-03-22T14:19:12.8362996+00:00,64,935.80
2026-03-22T14:19:13.7721039+00:00,66,906.74
2026-03-22T14:19:14.6788489+00:00,68,876.61
2026-03-22T14:19:15.5554635+00:00,71,846.13
2026-03-22T14:19:16.4015956+00:00,72,828.64
2026-03-22T14:19:17.2302348+00:00,72,834.48
2026-03-22T14:19:18.0647118+00:00,70,859.40
2026-03-22T14:19:18.9241114+00:00,67,894.73
2026-03-22T14:19:19.8188409+00:00,64,934.76
2026-03-22T14:19:20.7535971+00:00,62,966.80
2026-03-22T14:19:21.7203951+00:00,62,973.44
2026-03-22T14:19:22.6938301+00:00,63,958.27
2026-03-22T14:19:23.6520970+00:00,64,935.10
2026-03-22T14:19:24.5871984+00:00,66,902.36
2026-03-22T14:19:25.4895548+00:00,69,864.06
2026-03-22T14:19:26.3536163+00:00,71,839.67
2026-03-22T14:19:27.1932819+00:00,71,839.70
2026-03-22T14:19:28.0329843+00:00,70,861.18
2026-03-22T14:19:28.8941606+00:00,67,899.05
2026-03-22T14:19:29.7932127+00:00,64,943.70
2026-03-22T14:19:30.7369168+00:00,62,971.98
2026-03-22T14:19:31.7088967+00:00,62,967.39
2026-03-22T14:19:32.6762883+00:00,63,945.04
2026-03-22T14:19:33.6213304+00:00,65,920.65
2026-03-22T14:19:34.5419793+00:00,67,890.20
2026-03-22T14:19:35.4321830+00:00,70,856.02
2026-03-22T14:19:36.2881999+00:00,72,831.33
2026-03-22T14:19:37.1195259+00:00,73,823.53
2026-03-22T14:19:37.9430541+00:00,72,835.22
2026-03-22T14:19:38.7782728+00:00,69,868.39
2026-03-22T14:19:39.6466606+00:00,66,915.28
2026-03-22T14:19:40.5619411+00:00,63,952.01
2026-03-22T14:19:41.5139515+00:00,63,958.21
2026-03-22T14:19:42.4721567+00:00,64,941.13
2026-03-22T14:19:43.4132846+00:00,66,914.83
2026-03-22T14:19:44.3281147+00:00,68,882.22
2026-03-22T14:19:45.2103339+00:00,71,850.89
2026-03-22T14:19:46.0612250+00:00,72,831.49
2026-03-22T14:19:46.8927189+00:00,73,826.94
2026-03-22T14:19:47.7196612+00:00,72,838.07
2026-03-22T14:19:48.5577321+00:00,69,867.56
2026-03-22T14:19:49.4252919+00:00,66,910.90
2026-03-22T14:19:50.3361870+00:00,63,949.75
2026-03-22T14:19:51.2859379+00:00,62,966.55
2026-03-22T14:19:52.2524923+00:00,62,963.09
2026-03-22T14:19:53.2155809+00:00,64,944.83
2026-03-22T14:19:54.1604090+00:00,66,911.49
2026-03-22T14:19:55.0718955+00:00,69,874.47
2026-03-22T14:19:55.9463669+00:00,71,848.61
2026-03-22T14:19:56.7949800+00:00,71,839.19
2026-03-22T14:19:57.6341725+00:00,71,849.40
2026-03-22T14:19:58.4835769+00:00,68,882.07
2026-03-22T14:19:59.3656470+00:00,65,928.41
2026-03-22T14:20:00.2940574+00:00,62,964.30
2026-03-22T14:20:01.2583568+00:00,62,973.17
2026-03-22T14:20:02.2315234+00:00,62,963.41
2026-03-22T14:20:03.1949376+00:00,64,942.59
2026-03-22T14:20:04.1375313+00:00,66,911.24
2026-03-22T14:20:05.0487736+00:00,68,877.53
2026-03-22T14:20:05.9263046+00:00,71,848.55
2026-03-22T14:20:06.7748563+00:00,72,829.18
2026-03-22T14:20:07.6040337+00:00,72,829.96
2026-03-22T14:20:08.4339909+00:00,70,858.75
2026-03-22T14:20:09.2927362+00:00,66,906.15
2026-03-22T14:20:10.1988869+00:00,63,946.13
2026-03-22T14:20:11.1450202+00:00,62,960.21
2026-03-22T14:20:12.1052351+00:00,63,951.39
2026-03-22T14:20:13.0566300+00:00,65,925.70
2026-03-22T14:20:13.9823283+00:00,67,892.07
2026-03-22T14:20:14.8743961+00:00,70,862.78
2026-03-22T14:20:15.7371808+00:00,71,839.91
2026-03-22T14:20:16.5770878+00:00,73,823.22
2026-03-22T14:20:17.4003114+00:00,73,822.20
2026-03-22T14:20:18.2225095+00:00,71,845.87
2026-03-22T14:20:19.0683806+00:00,68,887.71
2026-03-22T14:20:19.9560907+00:00,65,928.53
2026-03-22T14:20:20.8846186+00:00,63,955.16
2026-03-22T14:20:21.8397787+00:00,62,963.61
2026-03-22T14:20:22.8033912+00:00,63,948.20
2026-03-22T14:20:23.7515925+00:00,66,915.35
2026-03-22T14:20:24.6669409+00:00,68,882.16
2026-03-22T14:20:25.5491049+00:00,70,854.70
2026-03-22T14:20:26.4038038+00:00,72,835.91
2026-03-22T14:20:27.2397186+00:00,72,836.90
2026-03-22T14:20:28.0766207+00:00,69,864.04
2026-03-22T14:20:28.9406617+00:00,66,906.43
2026-03-22T14:20:29.8470962+00:00,64,944.67
2026-03-22T14:20:30.7917660+00:00,62,968.87
2026-03-22T14:20:31.7606392+00:00,62,974.81
2026-03-22T14:20:32.7354445+00:00,63,958.52
2026-03-22T14:20:33.6939607+00:00,65,930.04
2026-03-22T14:20:34.6239962+00:00,67,899.83
2026-03-22T14:20:35.5238226+00:00,69,866.52
2026-03-22T14:20:36.3903389+00:00,72,837.48
2026-03-22T14:20:37.2278164+00:00,72,831.26
2026-03-22T14:20:38.0590756+00:00,70,854.52
2026-03-22T14:20:38.9135980+00:00,67,895.54
2026-03-22T14:20:39.8091390+00:00,64,936.67
2026-03-22T14:20:40.7458078+00:00,62,963.67
