timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:41.0337276+00:00,66,908.42
2026-03-22T14:14:41.9421476+00:00,74,811.42
2026-03-22T14:14:42.7535646+00:00,76,791.18
2026-03-22T14:14:43.5447464+00:00,74,813.14
2026-03-22T14:14:44.3578893+00:00,74,808.79
2026-03-22T14:14:45.1666840+00:00,73,821.71
2026-03-22T14:14:45.9883985+00:00,68,887.20
2026-03-22T14:14:46.8755997+00:00,65,921.04
2026-03-22T14:14:47.7966406+00:00,92,649.40
2026-03-22T14:14:48.4460377+00:00,68,880.00
2026-03-22T14:14:49.3260390+00:00,78,770.56
2026-03-22T14:14:50.0966000+00:00,73,817.47
2026-03-22T14:14:50.9140684+00:00,72,837.84
2026-03-22T14:14:51.7519094+00:00,70,853.43
2026-03-22T14:14:52.6053376+00:00,67,893.16
2026-03-22T14:14:53.4984968+00:00,69,871.56
2026-03-22T14:14:54.3700520+00:00,77,779.21
2026-03-22T14:14:55.1492594+00:00,106,565.79
2026-03-22T14:14:55.7150444+00:00,67,894.02
2026-03-22T14:14:56.6090607+00:00,70,854.21
2026-03-22T14:14:57.4632743+00:00,69,873.30
2026-03-22T14:14:58.3365757+00:00,69,874.22
2026-03-22T14:14:59.2107922+00:00,68,878.60
2026-03-22T14:15:00.0893944+00:00,72,827.69
2026-03-22T14:15:00.9170857+00:00,79,762.65
2026-03-22T14:15:01.6797341+00:00,77,774.29
2026-03-22T14:15:02.4540284+00:00,89,674.54
2026-03-22T14:15:03.1285716+00:00,59,1017.17
2026-03-22T14:15:04.1457462+00:00,68,888.58
2026-03-22T14:15:05.0343212+00:00,69,865.27
2026-03-22T14:15:05.8995910+00:00,71,848.40
2026-03-22T14:15:06.7479940+00:00,76,793.99
2026-03-22T14:15:07.5419866+00:00,78,773.61
2026-03-22T14:15:08.3156004+00:00,72,833.08
2026-03-22T14:15:09.1486784+00:00,65,919.56
2026-03-22T14:15:10.0682432+00:00,82,730.30
2026-03-22T14:15:10.7985394+00:00,62,971.85
2026-03-22T14:15:11.7703852+00:00,72,828.62
2026-03-22T14:15:12.5990097+00:00,73,816.66
2026-03-22T14:15:13.4156746+00:00,76,787.22
2026-03-22T14:15:14.2028923+00:00,74,805.99
2026-03-22T14:15:15.0088824+00:00,67,891.35
2026-03-22T14:15:15.9002315+00:00,64,934.19
2026-03-22T14:15:16.8344259+00:00,71,848.73
2026-03-22T14:15:17.6831520+00:00,99,606.96
2026-03-22T14:15:18.2901095+00:00,66,907.52
2026-03-22T14:15:19.1976260+00:00,74,812.22
2026-03-22T14:15:20.0098455+00:00,74,805.69
2026-03-22T14:15:20.8155361+00:00,71,839.66
2026-03-22T14:15:21.6551972+00:00,66,912.10
2026-03-22T14:15:22.5672925+00:00,67,895.28
