timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:41.4143499+00:00,68,888.26
2026-03-22T14:14:42.3026086+00:00,70,860.98
2026-03-22T14:14:43.1635865+00:00,71,840.18
2026-03-22T14:14:44.0037659+00:00,71,843.45
2026-03-22T14:14:44.8472155+00:00,70,859.43
2026-03-22T14:14:45.7066417+00:00,69,870.79
2026-03-22T14:14:46.5774340+00:00,68,877.36
2026-03-22T14:14:47.4547917+00:00,70,861.18
2026-03-22T14:14:48.3159737+00:00,72,832.16
2026-03-22T14:14:49.1481351+00:00,72,829.16
2026-03-22T14:14:49.9772925+00:00,70,851.69
2026-03-22T14:14:50.8289828+00:00,69,866.31
2026-03-22T14:14:51.6952975+00:00,70,861.42
2026-03-22T14:14:52.5567169+00:00,71,849.80
2026-03-22T14:14:53.4065176+00:00,71,844.48
2026-03-22T14:14:54.2509952+00:00,71,840.26
2026-03-22T14:14:55.0912552+00:00,71,845.50
2026-03-22T14:14:55.9367588+00:00,70,857.74
2026-03-22T14:14:56.7944977+00:00,70,862.47
2026-03-22T14:14:57.6569689+00:00,71,850.21
2026-03-22T14:14:58.5071760+00:00,71,843.08
2026-03-22T14:14:59.3502562+00:00,70,851.55
2026-03-22T14:15:00.2018079+00:00,69,870.32
2026-03-22T14:15:01.0721293+00:00,69,865.22
2026-03-22T14:15:01.9373451+00:00,70,853.81
2026-03-22T14:15:02.7911591+00:00,70,854.05
2026-03-22T14:15:03.6452110+00:00,70,858.83
2026-03-22T14:15:04.5040421+00:00,70,862.29
2026-03-22T14:15:05.3663331+00:00,68,881.70
2026-03-22T14:15:06.2480352+00:00,68,880.27
2026-03-22T14:15:07.1283012+00:00,70,863.06
2026-03-22T14:15:07.9913647+00:00,71,845.36
2026-03-22T14:15:08.8367260+00:00,70,851.79
2026-03-22T14:15:09.6885161+00:00,68,876.71
2026-03-22T14:15:10.5652262+00:00,67,894.09
2026-03-22T14:15:11.4593209+00:00,68,876.12
2026-03-22T14:15:12.3354375+00:00,69,864.39
2026-03-22T14:15:13.1998264+00:00,71,850.06
2026-03-22T14:15:14.0498859+00:00,71,843.37
2026-03-22T14:15:14.8932515+00:00,69,866.29
2026-03-22T14:15:15.7595418+00:00,67,889.07
2026-03-22T14:15:16.6486151+00:00,68,879.80
2026-03-22T14:15:17.5284177+00:00,70,855.01
2026-03-22T14:15:18.3834316+00:00,72,833.31
2026-03-22T14:15:19.2167410+00:00,71,839.74
2026-03-22T14:15:20.0564795+00:00,70,861.37
2026-03-22T14:15:20.9178522+00:00,69,865.61
2026-03-22T14:15:21.7834661+00:00,69,867.80
2026-03-22T14:15:22.6512681+00:00,70,861.44
2026-03-22T14:15:23.5127063+00:00,72,834.97
2026-03-22T14:15:24.3476805+00:00,72,833.29
2026-03-22T14:15:25.1809725+00:00,70,855.25
2026-03-22T14:15:26.0362258+00:00,69,865.45
2026-03-22T14:15:26.9016711+00:00,70,860.77
2026-03-22T14:15:27.7624408+00:00,71,850.59
2026-03-22T14:15:28.6130263+00:00,71,844.17
2026-03-22T14:15:29.4571927+00:00,70,853.23
2026-03-22T14:15:30.3104211+00:00,70,854.93
2026-03-22T14:15:31.1653477+00:00,70,855.75
2026-03-22T14:15:32.0210966+00:00,70,862.23
2026-03-22T14:15:32.8833287+00:00,70,855.82
2026-03-22T14:15:33.7391455+00:00,71,849.28
2026-03-22T14:15:34.5884288+00:00,69,865.67
2026-03-22T14:15:35.4541000+00:00,68,879.35
2026-03-22T14:15:36.3334502+00:00,69,870.36
2026-03-22T14:15:37.2038131+00:00,70,855.96
2026-03-22T14:15:38.0597770+00:00,70,852.63
2026-03-22T14:15:38.9124044+00:00,69,867.20
2026-03-22T14:15:39.7796079+00:00,68,877.29
2026-03-22T14:15:40.6569019+00:00,68,883.95
2026-03-22T14:15:41.5408537+00:00,68,879.07
2026-03-22T14:15:42.4199238+00:00,70,861.70
2026-03-22T14:15:43.2816216+00:00,71,842.43
2026-03-22T14:15:44.1240489+00:00,70,856.35
2026-03-22T14:15:44.9804017+00:00,68,881.87
2026-03-22T14:15:45.8622715+00:00,67,894.04
2026-03-22T14:15:46.7563066+00:00,69,870.73
2026-03-22T14:15:47.6270366+00:00,70,852.86
2026-03-22T14:15:48.4798945+00:00,71,843.62
2026-03-22T14:15:49.3235135+00:00,71,847.26
2026-03-22T14:15:50.1707738+00:00,69,863.50
2026-03-22T14:15:51.0342731+00:00,68,883.18
2026-03-22T14:15:51.9174502+00:00,69,871.99
2026-03-22T14:15:52.7894360+00:00,71,845.75
2026-03-22T14:15:53.6351894+00:00,72,827.79
2026-03-22T14:15:54.4629839+00:00,71,839.40
2026-03-22T14:15:55.3023820+00:00,70,860.77
2026-03-22T14:15:56.1631528+00:00,69,863.43
2026-03-22T14:15:57.0265845+00:00,70,856.94
2026-03-22T14:15:57.8835228+00:00,70,853.63
2026-03-22T14:15:58.7371558+00:00,72,836.78
2026-03-22T14:15:59.5739406+00:00,72,834.56
2026-03-22T14:16:00.4084962+00:00,70,852.80
2026-03-22T14:16:01.2613011+00:00,70,861.29
2026-03-22T14:16:02.1225949+00:00,70,854.72
2026-03-22T14:16:02.9773138+00:00,71,847.34
2026-03-22T14:16:03.8246556+00:00,71,843.76
2026-03-22T14:16:04.6684179+00:00,70,860.17
2026-03-22T14:16:05.5285892+00:00,69,863.51
2026-03-22T14:16:06.3920973+00:00,70,854.43
2026-03-22T14:16:07.2465282+00:00,70,858.57
2026-03-22T14:16:08.1051024+00:00,70,861.12
2026-03-22T14:16:08.9662203+00:00,70,854.76
2026-03-22T14:16:09.8209805+00:00,69,874.78
2026-03-22T14:16:10.6957630+00:00,68,884.58
2026-03-22T14:16:11.5803435+00:00,69,870.73
2026-03-22T14:16:12.4510710+00:00,70,854.50
2026-03-22T14:16:13.3055734+00:00,70,851.55
2026-03-22T14:16:14.1571283+00:00,69,869.69
2026-03-22T14:16:15.0268142+00:00,67,889.89
2026-03-22T14:16:15.9167040+00:00,68,884.51
2026-03-22T14:16:16.8012143+00:00,69,874.27
