timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:41.6633516+00:00,70,861.02
2026-03-22T14:14:42.5243711+00:00,69,873.17
2026-03-22T14:14:43.3975391+00:00,69,872.38
2026-03-22T14:14:44.2699199+00:00,69,863.87
2026-03-22T14:14:45.1337875+00:00,70,854.73
2026-03-22T14:14:45.9885206+00:00,70,855.36
2026-03-22T14:14:46.8438834+00:00,69,868.90
2026-03-22T14:14:47.7127834+00:00,68,880.21
2026-03-22T14:14:48.5929887+00:00,68,877.49
2026-03-22T14:14:49.4704778+00:00,69,865.93
2026-03-22T14:14:50.3364118+00:00,70,857.37
2026-03-22T14:14:51.1937770+00:00,70,861.62
2026-03-22T14:14:52.0553927+00:00,69,873.15
2026-03-22T14:14:52.9285460+00:00,68,877.43
2026-03-22T14:14:53.8059745+00:00,69,872.11
2026-03-22T14:14:54.6780817+00:00,70,861.67
2026-03-22T14:14:55.5397510+00:00,70,853.66
2026-03-22T14:14:56.3934088+00:00,70,858.42
2026-03-22T14:14:57.2518287+00:00,69,869.36
2026-03-22T14:14:58.1211897+00:00,69,870.13
2026-03-22T14:14:58.9913214+00:00,70,860.28
2026-03-22T14:14:59.8515978+00:00,71,849.58
2026-03-22T14:15:00.7011764+00:00,71,846.86
2026-03-22T14:15:01.5480359+00:00,70,854.72
2026-03-22T14:15:02.4027558+00:00,70,862.62
2026-03-22T14:15:03.2653711+00:00,70,861.02
2026-03-22T14:15:04.1263902+00:00,70,852.15
2026-03-22T14:15:04.9785391+00:00,71,841.86
2026-03-22T14:15:05.8204027+00:00,71,840.60
2026-03-22T14:15:06.6610027+00:00,70,852.72
2026-03-22T14:15:07.5137204+00:00,70,863.29
2026-03-22T14:15:08.3770137+00:00,70,859.86
2026-03-22T14:15:09.2368780+00:00,71,849.19
2026-03-22T14:15:10.0860729+00:00,71,841.51
2026-03-22T14:15:10.9275799+00:00,71,844.33
2026-03-22T14:15:11.7719107+00:00,70,857.45
2026-03-22T14:15:12.6293604+00:00,69,868.03
2026-03-22T14:15:13.4973941+00:00,69,866.74
2026-03-22T14:15:14.3641368+00:00,70,856.55
2026-03-22T14:15:15.2206819+00:00,71,847.24
2026-03-22T14:15:16.0679204+00:00,70,851.82
2026-03-22T14:15:16.9197373+00:00,69,868.08
2026-03-22T14:15:17.7878192+00:00,68,877.27
2026-03-22T14:15:18.6650844+00:00,69,872.68
2026-03-22T14:15:19.5377667+00:00,70,862.75
2026-03-22T14:15:20.4005200+00:00,70,855.90
2026-03-22T14:15:21.2564184+00:00,70,860.63
2026-03-22T14:15:22.1170469+00:00,69,873.86
2026-03-22T14:15:22.9909020+00:00,68,880.63
2026-03-22T14:15:23.8715316+00:00,69,874.82
