timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:41.9728980+00:00,69,865.52
2026-03-22T14:14:42.8384172+00:00,70,861.48
2026-03-22T14:14:43.6999015+00:00,71,850.24
2026-03-22T14:14:44.5501404+00:00,71,839.96
2026-03-22T14:14:45.3900978+00:00,72,839.00
2026-03-22T14:14:46.2290964+00:00,70,852.33
2026-03-22T14:14:47.0814223+00:00,69,865.31
2026-03-22T14:14:47.9467361+00:00,69,865.14
2026-03-22T14:14:48.8118785+00:00,70,854.99
2026-03-22T14:14:49.6668681+00:00,71,844.10
2026-03-22T14:14:50.5109636+00:00,71,847.04
2026-03-22T14:14:51.3580006+00:00,70,862.94
2026-03-22T14:14:52.2209434+00:00,69,872.05
2026-03-22T14:14:53.0929982+00:00,69,869.27
2026-03-22T14:14:53.9622699+00:00,70,862.10
2026-03-22T14:14:54.8243698+00:00,70,854.80
2026-03-22T14:14:55.6791664+00:00,70,858.62
2026-03-22T14:14:56.5377913+00:00,69,872.29
2026-03-22T14:14:57.4100814+00:00,68,878.83
2026-03-22T14:14:58.2889069+00:00,69,873.11
2026-03-22T14:14:59.1620175+00:00,70,862.42
2026-03-22T14:15:00.0244355+00:00,70,857.71
2026-03-22T14:15:00.8821448+00:00,69,867.12
2026-03-22T14:15:01.7492602+00:00,68,878.04
2026-03-22T14:15:02.6272995+00:00,68,876.00
2026-03-22T14:15:03.5032956+00:00,69,867.21
2026-03-22T14:15:04.3705062+00:00,70,857.42
2026-03-22T14:15:05.2279287+00:00,70,853.64
2026-03-22T14:15:06.0815699+00:00,69,864.01
2026-03-22T14:15:06.9455765+00:00,69,875.18
2026-03-22T14:15:07.8207558+00:00,69,870.23
2026-03-22T14:15:08.6909899+00:00,70,855.95
2026-03-22T14:15:09.5469447+00:00,71,844.72
2026-03-22T14:15:10.3916648+00:00,71,846.50
2026-03-22T14:15:11.2381636+00:00,70,859.86
2026-03-22T14:15:12.0980222+00:00,69,867.24
2026-03-22T14:15:12.9652601+00:00,70,861.88
2026-03-22T14:15:13.8271395+00:00,71,850.13
2026-03-22T14:15:14.6772655+00:00,72,837.84
2026-03-22T14:15:15.5151094+00:00,71,839.25
2026-03-22T14:15:16.3543569+00:00,70,856.01
2026-03-22T14:15:17.2103695+00:00,69,865.99
2026-03-22T14:15:18.0763580+00:00,70,859.86
2026-03-22T14:15:18.9362131+00:00,71,847.69
2026-03-22T14:15:19.7839025+00:00,71,839.27
2026-03-22T14:15:20.6231715+00:00,71,843.95
2026-03-22T14:15:21.4671183+00:00,70,858.60
2026-03-22T14:15:22.3257190+00:00,69,867.54
2026-03-22T14:15:23.1932566+00:00,69,865.25
2026-03-22T14:15:24.0585026+00:00,70,855.17
2026-03-22T14:15:24.9136742+00:00,71,846.51
2026-03-22T14:15:25.7601833+00:00,70,853.56
2026-03-22T14:15:26.6137433+00:00,69,869.77
2026-03-22T14:15:27.4835149+00:00,69,875.07
2026-03-22T14:15:28.3585824+00:00,69,868.87
2026-03-22T14:15:29.2274560+00:00,70,860.81
2026-03-22T14:15:30.0882653+00:00,70,857.16
2026-03-22T14:15:30.9454232+00:00,69,865.19
2026-03-22T14:15:31.8106090+00:00,68,876.54
2026-03-22T14:15:32.6871524+00:00,68,877.82
2026-03-22T14:15:33.5649705+00:00,69,870.32
2026-03-22T14:15:34.4352883+00:00,70,859.50
2026-03-22T14:15:35.2947846+00:00,70,857.82
2026-03-22T14:15:36.1526096+00:00,69,871.20
2026-03-22T14:15:37.0238086+00:00,68,879.04
2026-03-22T14:15:37.9028442+00:00,69,871.59
2026-03-22T14:15:38.7744353+00:00,70,860.70
2026-03-22T14:15:39.6351373+00:00,70,852.25
2026-03-22T14:15:40.4873836+00:00,70,853.27
2026-03-22T14:15:41.3406567+00:00,69,865.39
2026-03-22T14:15:42.2060494+00:00,69,872.71
2026-03-22T14:15:43.0787623+00:00,69,864.53
2026-03-22T14:15:43.9432967+00:00,71,849.00
2026-03-22T14:15:44.7922960+00:00,72,839.08
2026-03-22T14:15:45.6313745+00:00,71,845.80
2026-03-22T14:15:46.4771784+00:00,70,861.74
2026-03-22T14:15:47.3389197+00:00,69,865.90
2026-03-22T14:15:48.2048176+00:00,70,857.39
2026-03-22T14:15:49.0622099+00:00,71,845.28
2026-03-22T14:15:49.9074867+00:00,72,835.84
2026-03-22T14:15:50.7433226+00:00,71,841.96
2026-03-22T14:15:51.5852866+00:00,70,858.77
2026-03-22T14:15:52.4440530+00:00,69,867.20
2026-03-22T14:15:53.3112572+00:00,70,859.85
2026-03-22T14:15:54.1711094+00:00,71,846.01
2026-03-22T14:15:55.0171206+00:00,71,839.81
2026-03-22T14:15:55.8569288+00:00,71,850.18
2026-03-22T14:15:56.7071127+00:00,69,865.05
2026-03-22T14:15:57.5721624+00:00,69,869.18
2026-03-22T14:15:58.4413420+00:00,69,866.26
2026-03-22T14:15:59.3076018+00:00,70,856.98
2026-03-22T14:16:00.1645828+00:00,71,849.92
2026-03-22T14:16:01.0145029+00:00,70,860.27
2026-03-22T14:16:01.8747737+00:00,69,874.90
2026-03-22T14:16:02.7496787+00:00,68,875.95
2026-03-22T14:16:03.6256255+00:00,69,867.55
2026-03-22T14:16:04.4931759+00:00,70,859.89
2026-03-22T14:16:05.3530695+00:00,70,860.39
2026-03-22T14:16:06.2134637+00:00,69,872.24
2026-03-22T14:16:07.0857074+00:00,68,877.64
2026-03-22T14:16:07.9633487+00:00,69,874.21
2026-03-22T14:16:08.8375552+00:00,69,866.27
2026-03-22T14:16:09.7038273+00:00,70,856.22
2026-03-22T14:16:10.5600489+00:00,70,858.47
2026-03-22T14:16:11.4185175+00:00,69,874.71
2026-03-22T14:16:12.2932245+00:00,68,877.60
2026-03-22T14:16:13.1708253+00:00,69,864.80
2026-03-22T14:16:14.0356249+00:00,70,852.46
2026-03-22T14:16:14.8880836+00:00,71,846.67
2026-03-22T14:16:15.7347549+00:00,70,854.26
2026-03-22T14:16:16.5890148+00:00,69,867.31
2026-03-22T14:16:17.4563284+00:00,69,868.89
2026-03-22T14:16:18.3252164+00:00,70,858.97
2026-03-22T14:16:19.1841899+00:00,71,843.47
2026-03-22T14:16:20.0276621+00:00,72,833.51
2026-03-22T14:16:20.8611767+00:00,71,847.13
2026-03-22T14:16:21.7083108+00:00,69,865.77
2026-03-22T14:16:22.5740823+00:00,69,865.59
2026-03-22T14:16:23.4396722+00:00,70,853.57
2026-03-22T14:16:24.2932460+00:00,71,841.96
2026-03-22T14:16:25.1352046+00:00,72,834.95
2026-03-22T14:16:25.9701514+00:00,71,845.91
2026-03-22T14:16:26.8160593+00:00,70,861.70
2026-03-22T14:16:27.6777611+00:00,69,868.55
2026-03-22T14:16:28.5463129+00:00,70,861.26
2026-03-22T14:16:29.4075739+00:00,71,845.96
2026-03-22T14:16:30.2535337+00:00,71,841.14
2026-03-22T14:16:31.0946687+00:00,70,857.74
2026-03-22T14:16:31.9524065+00:00,69,869.94
2026-03-22T14:16:32.8223502+00:00,69,870.48
2026-03-22T14:16:33.6928331+00:00,69,866.33
2026-03-22T14:16:34.5591673+00:00,70,858.57
2026-03-22T14:16:35.4177327+00:00,70,855.90
2026-03-22T14:16:36.2736369+00:00,69,865.26
2026-03-22T14:16:37.1389005+00:00,68,876.54
2026-03-22T14:16:38.0154442+00:00,69,875.39
2026-03-22T14:16:38.8908380+00:00,69,864.79
2026-03-22T14:16:39.7556322+00:00,70,857.19
2026-03-22T14:16:40.6128187+00:00,69,865.07
2026-03-22T14:16:41.4778904+00:00,69,875.24
2026-03-22T14:16:42.3531292+00:00,69,875.52
2026-03-22T14:16:43.2286471+00:00,69,866.22
2026-03-22T14:16:44.0948706+00:00,70,859.47
2026-03-22T14:16:44.9543362+00:00,70,853.08
2026-03-22T14:16:45.8074197+00:00,70,858.05
2026-03-22T14:16:46.6654662+00:00,69,875.72
2026-03-22T14:16:47.5411904+00:00,69,874.04
2026-03-22T14:16:48.4152320+00:00,70,857.22
2026-03-22T14:16:49.2724533+00:00,71,841.87
2026-03-22T14:16:50.1143218+00:00,71,840.84
2026-03-22T14:16:50.9551638+00:00,70,857.34
2026-03-22T14:16:51.8125045+00:00,69,870.06
2026-03-22T14:16:52.6825663+00:00,69,865.77
2026-03-22T14:16:53.5483318+00:00,70,854.33
2026-03-22T14:16:54.4026571+00:00,72,837.25
2026-03-22T14:16:55.2399022+00:00,72,829.65
2026-03-22T14:16:56.0695520+00:00,71,848.60
2026-03-22T14:16:56.9181531+00:00,69,867.33
2026-03-22T14:16:57.7854825+00:00,69,867.08
2026-03-22T14:16:58.6525611+00:00,71,849.98
2026-03-22T14:16:59.5025411+00:00,72,835.60
2026-03-22T14:17:00.3381425+00:00,72,835.66
2026-03-22T14:17:01.1738022+00:00,71,845.85
2026-03-22T14:17:02.0196555+00:00,69,863.80
2026-03-22T14:17:02.8834555+00:00,69,868.96
2026-03-22T14:17:03.7524183+00:00,69,863.52
2026-03-22T14:17:04.6159338+00:00,71,848.06
2026-03-22T14:17:05.4639984+00:00,71,842.20
2026-03-22T14:17:06.3062032+00:00,69,864.31
2026-03-22T14:17:07.1705094+00:00,69,874.70
2026-03-22T14:17:08.0452073+00:00,69,870.72
2026-03-22T14:17:08.9159282+00:00,69,866.38
2026-03-22T14:17:09.7823131+00:00,70,859.84
2026-03-22T14:17:10.6421492+00:00,70,863.27
2026-03-22T14:17:11.5054237+00:00,69,867.78
2026-03-22T14:17:12.3732026+00:00,69,874.81
2026-03-22T14:17:13.2480082+00:00,69,872.87
2026-03-22T14:17:14.1208826+00:00,70,860.16
2026-03-22T14:17:14.9810389+00:00,70,855.52
2026-03-22T14:17:15.8365580+00:00,69,866.27
2026-03-22T14:17:16.7028328+00:00,68,882.29
2026-03-22T14:17:17.5851269+00:00,69,871.70
2026-03-22T14:17:18.4568245+00:00,70,857.82
2026-03-22T14:17:19.3146494+00:00,70,854.91
2026-03-22T14:17:20.1695585+00:00,70,851.48
2026-03-22T14:17:21.0210357+00:00,69,863.34
2026-03-22T14:17:21.8843716+00:00,69,875.31
2026-03-22T14:17:22.7596807+00:00,69,871.78
2026-03-22T14:17:23.6314576+00:00,71,850.37
2026-03-22T14:17:24.4818300+00:00,72,829.99
2026-03-22T14:17:25.3118190+00:00,72,834.82
