timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:42.2151752+00:00,71,850.46
2026-03-22T14:14:43.0656331+00:00,71,847.44
2026-03-22T14:14:43.9130702+00:00,71,844.75
2026-03-22T14:14:44.7578185+00:00,71,844.16
2026-03-22T14:14:45.6019781+00:00,71,842.18
2026-03-22T14:14:46.4441609+00:00,71,841.45
2026-03-22T14:14:47.2856132+00:00,71,846.40
2026-03-22T14:14:48.1320170+00:00,70,852.33
2026-03-22T14:14:48.9843437+00:00,70,851.53
2026-03-22T14:14:49.8358716+00:00,71,846.80
2026-03-22T14:14:50.6826724+00:00,71,845.90
2026-03-22T14:14:51.5285741+00:00,71,847.76
2026-03-22T14:14:52.3763308+00:00,71,848.18
2026-03-22T14:14:53.2245116+00:00,71,850.42
2026-03-22T14:14:54.0749312+00:00,70,856.13
2026-03-22T14:14:54.9310661+00:00,70,857.87
2026-03-22T14:14:55.7889387+00:00,70,852.89
2026-03-22T14:14:56.6418247+00:00,71,849.53
2026-03-22T14:14:57.4913542+00:00,70,851.75
2026-03-22T14:14:58.3431015+00:00,70,854.23
2026-03-22T14:14:59.1973297+00:00,70,854.87
2026-03-22T14:15:00.0521958+00:00,70,857.29
2026-03-22T14:15:00.9094848+00:00,70,859.70
2026-03-22T14:15:01.7691851+00:00,70,856.05
2026-03-22T14:15:02.6252397+00:00,71,849.78
2026-03-22T14:15:03.4750218+00:00,71,849.64
2026-03-22T14:15:04.3246570+00:00,70,853.71
2026-03-22T14:15:05.1783712+00:00,70,854.75
2026-03-22T14:15:06.0331204+00:00,70,854.07
2026-03-22T14:15:06.8871952+00:00,70,854.86
2026-03-22T14:15:07.7420589+00:00,70,852.69
2026-03-22T14:15:08.5947517+00:00,71,846.25
2026-03-22T14:15:09.4409981+00:00,71,843.35
2026-03-22T14:15:10.2843473+00:00,71,847.44
2026-03-22T14:15:11.1317861+00:00,70,851.42
2026-03-22T14:15:11.9832092+00:00,71,850.14
2026-03-22T14:15:12.8333465+00:00,71,847.79
2026-03-22T14:15:13.6811390+00:00,71,846.77
2026-03-22T14:15:14.5279086+00:00,71,843.35
