timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:42.3759143+00:00,64,937.03
2026-03-22T14:14:43.3129451+00:00,67,897.17
2026-03-22T14:14:44.2101130+00:00,73,825.49
2026-03-22T14:14:45.0356042+00:00,69,866.91
2026-03-22T14:14:45.9025116+00:00,64,931.73
2026-03-22T14:14:46.8342401+00:00,68,876.92
2026-03-22T14:14:47.7111640+00:00,73,827.43
2026-03-22T14:14:48.5385932+00:00,67,899.19
2026-03-22T14:14:49.4377859+00:00,64,937.48
2026-03-22T14:14:50.3752630+00:00,69,865.65
2026-03-22T14:14:51.2409110+00:00,72,832.74
2026-03-22T14:14:52.0736515+00:00,65,918.46
2026-03-22T14:14:52.9921072+00:00,65,928.66
2026-03-22T14:14:53.9207701+00:00,70,858.18
2026-03-22T14:14:54.7789542+00:00,70,862.42
2026-03-22T14:14:55.6413771+00:00,63,946.62
2026-03-22T14:14:56.5879922+00:00,66,913.91
2026-03-22T14:14:57.5018992+00:00,71,843.08
2026-03-22T14:14:58.3449784+00:00,68,884.00
2026-03-22T14:14:59.2289811+00:00,63,953.95
2026-03-22T14:15:00.1829278+00:00,67,900.16
2026-03-22T14:15:01.0830855+00:00,71,847.40
2026-03-22T14:15:01.9304870+00:00,65,917.11
2026-03-22T14:15:02.8475942+00:00,64,941.10
2026-03-22T14:15:03.7886898+00:00,69,869.00
2026-03-22T14:15:04.6576945+00:00,71,849.38
2026-03-22T14:15:05.5070714+00:00,64,937.47
2026-03-22T14:15:06.4445389+00:00,65,926.85
2026-03-22T14:15:07.3713863+00:00,71,850.34
2026-03-22T14:15:08.2217287+00:00,70,863.05
2026-03-22T14:15:09.0847825+00:00,64,936.52
2026-03-22T14:15:10.0213071+00:00,67,896.64
2026-03-22T14:15:10.9179447+00:00,72,832.94
2026-03-22T14:15:11.7508832+00:00,68,883.49
2026-03-22T14:15:12.6343754+00:00,64,938.62
2026-03-22T14:15:13.5729913+00:00,68,875.96
2026-03-22T14:15:14.4489531+00:00,73,823.46
2026-03-22T14:15:15.2724096+00:00,67,892.55
2026-03-22T14:15:16.1649577+00:00,65,923.86
2026-03-22T14:15:17.0888148+00:00,70,860.64
2026-03-22T14:15:17.9494542+00:00,72,834.23
2026-03-22T14:15:18.7836795+00:00,65,917.83
2026-03-22T14:15:19.7015103+00:00,66,915.84
2026-03-22T14:15:20.6173470+00:00,71,841.52
2026-03-22T14:15:21.4588650+00:00,71,841.57
2026-03-22T14:15:22.3004305+00:00,65,929.22
2026-03-22T14:15:23.2296519+00:00,66,911.22
2026-03-22T14:15:24.1408685+00:00,71,842.69
2026-03-22T14:15:24.9835583+00:00,69,873.31
2026-03-22T14:15:25.8568681+00:00,64,941.84
2026-03-22T14:15:26.7987054+00:00,67,892.26
2026-03-22T14:15:27.6909672+00:00,72,834.94
2026-03-22T14:15:28.5259086+00:00,67,900.88
2026-03-22T14:15:29.4267866+00:00,63,950.56
2026-03-22T14:15:30.3773489+00:00,68,884.22
2026-03-22T14:15:31.2615703+00:00,71,847.37
2026-03-22T14:15:32.1089382+00:00,65,929.33
2026-03-22T14:15:33.0382672+00:00,64,932.28
2026-03-22T14:15:33.9705446+00:00,70,859.80
2026-03-22T14:15:34.8303476+00:00,69,865.54
2026-03-22T14:15:35.6958887+00:00,63,952.43
2026-03-22T14:15:36.6483173+00:00,65,917.84
2026-03-22T14:15:37.5661615+00:00,71,841.18
2026-03-22T14:15:38.4073385+00:00,68,884.44
2026-03-22T14:15:39.2917797+00:00,63,945.75
2026-03-22T14:15:40.2375277+00:00,68,888.88
2026-03-22T14:15:41.1264126+00:00,72,837.49
2026-03-22T14:15:41.9639002+00:00,66,911.16
2026-03-22T14:15:42.8750627+00:00,64,936.24
2026-03-22T14:15:43.8113016+00:00,70,856.81
2026-03-22T14:15:44.6681075+00:00,72,832.27
2026-03-22T14:15:45.5003771+00:00,65,920.07
2026-03-22T14:15:46.4204458+00:00,65,919.17
2026-03-22T14:15:47.3396114+00:00,71,842.62
2026-03-22T14:15:48.1822310+00:00,71,849.42
2026-03-22T14:15:49.0316496+00:00,64,931.52
2026-03-22T14:15:49.9631681+00:00,67,895.15
2026-03-22T14:15:50.8583138+00:00,73,821.80
2026-03-22T14:15:51.6801135+00:00,69,864.28
2026-03-22T14:15:52.5443919+00:00,64,938.57
2026-03-22T14:15:53.4829651+00:00,68,888.57
2026-03-22T14:15:54.3715332+00:00,73,825.48
2026-03-22T14:15:55.1970121+00:00,67,890.26
2026-03-22T14:15:56.0872683+00:00,64,934.11
2026-03-22T14:15:57.0213817+00:00,69,866.33
2026-03-22T14:15:57.8877068+00:00,72,832.80
2026-03-22T14:15:58.7205022+00:00,65,922.89
2026-03-22T14:15:59.6433884+00:00,64,937.49
2026-03-22T14:16:00.5808741+00:00,70,857.73
2026-03-22T14:16:01.4386061+00:00,70,851.33
2026-03-22T14:16:02.2899404+00:00,64,941.42
2026-03-22T14:16:03.2313624+00:00,65,917.86
2026-03-22T14:16:04.1492198+00:00,71,846.61
2026-03-22T14:16:04.9958346+00:00,68,886.48
2026-03-22T14:16:05.8823114+00:00,63,959.30
2026-03-22T14:16:06.8416143+00:00,67,898.06
2026-03-22T14:16:07.7396750+00:00,72,837.13
2026-03-22T14:16:08.5768085+00:00,66,911.20
