timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:42.9387118+00:00,60,1004.32
2026-03-22T14:14:43.9430268+00:00,65,918.74
2026-03-22T14:14:44.8617671+00:00,69,863.66
2026-03-22T14:14:45.7254319+00:00,71,841.97
2026-03-22T14:14:46.5674034+00:00,77,782.53
2026-03-22T14:14:47.3499335+00:00,76,788.24
2026-03-22T14:14:48.1381706+00:00,87,689.71
2026-03-22T14:14:48.8278820+00:00,52,1151.99
2026-03-22T14:14:49.9798712+00:00,64,937.93
2026-03-22T14:14:50.9178029+00:00,73,820.47
2026-03-22T14:14:51.7382679+00:00,73,826.34
2026-03-22T14:14:52.5646071+00:00,71,845.16
2026-03-22T14:14:53.4097625+00:00,71,841.34
2026-03-22T14:14:54.2510992+00:00,86,695.29
2026-03-22T14:14:54.9463886+00:00,52,1149.64
2026-03-22T14:14:56.0960301+00:00,62,961.74
2026-03-22T14:14:57.0577709+00:00,74,814.74
2026-03-22T14:14:57.8725147+00:00,74,813.77
2026-03-22T14:14:58.6862821+00:00,68,878.66
2026-03-22T14:14:59.5649430+00:00,67,898.77
2026-03-22T14:15:00.4637143+00:00,85,708.84
2026-03-22T14:15:01.1725552+00:00,53,1133.63
2026-03-22T14:15:02.3061883+00:00,62,964.28
2026-03-22T14:15:03.2704706+00:00,75,801.92
2026-03-22T14:15:04.0723876+00:00,76,784.55
2026-03-22T14:15:04.8569356+00:00,68,878.80
2026-03-22T14:15:05.7357376+00:00,64,938.95
2026-03-22T14:15:06.6746912+00:00,84,715.38
2026-03-22T14:15:07.3900740+00:00,54,1102.92
2026-03-22T14:15:08.4929896+00:00,64,936.95
2026-03-22T14:15:09.4299425+00:00,76,785.40
2026-03-22T14:15:10.2153411+00:00,80,749.61
2026-03-22T14:15:10.9649503+00:00,70,853.27
2026-03-22T14:15:11.8182205+00:00,62,970.89
2026-03-22T14:15:12.7891098+00:00,82,732.56
2026-03-22T14:15:13.5216732+00:00,57,1056.62
2026-03-22T14:15:14.5782918+00:00,67,892.65
2026-03-22T14:15:15.4709390+00:00,75,797.91
2026-03-22T14:15:16.2688484+00:00,81,743.37
2026-03-22T14:15:17.0122230+00:00,72,832.79
2026-03-22T14:15:17.8450141+00:00,61,984.18
2026-03-22T14:15:18.8291979+00:00,79,759.60
