timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:43.1183371+00:00,68,878.28
2026-03-22T14:14:43.9966204+00:00,69,866.49
2026-03-22T14:14:44.8631112+00:00,70,852.60
2026-03-22T14:14:45.7157137+00:00,72,835.69
2026-03-22T14:14:46.5514076+00:00,72,832.36
2026-03-22T14:14:47.3837675+00:00,71,847.53
2026-03-22T14:14:48.2312989+00:00,69,867.30
2026-03-22T14:14:49.0986016+00:00,69,875.53
2026-03-22T14:14:49.9741329+00:00,69,863.63
2026-03-22T14:14:50.8377614+00:00,72,837.37
2026-03-22T14:14:51.6751356+00:00,71,843.83
2026-03-22T14:14:52.5189662+00:00,70,862.28
2026-03-22T14:14:53.3812442+00:00,69,871.85
2026-03-22T14:14:54.2530936+00:00,69,871.78
2026-03-22T14:14:55.1248769+00:00,69,872.08
2026-03-22T14:14:55.9969580+00:00,70,860.14
2026-03-22T14:14:56.8571021+00:00,70,859.86
2026-03-22T14:14:57.7169593+00:00,69,865.55
2026-03-22T14:14:58.5825073+00:00,68,878.64
2026-03-22T14:14:59.4611511+00:00,69,874.10
2026-03-22T14:15:00.3352506+00:00,70,862.00
2026-03-22T14:15:01.1972502+00:00,70,861.46
2026-03-22T14:15:02.0587145+00:00,68,876.58
2026-03-22T14:15:02.9352920+00:00,68,877.25
2026-03-22T14:15:03.8125464+00:00,69,869.80
2026-03-22T14:15:04.6823417+00:00,70,861.25
2026-03-22T14:15:05.5435884+00:00,70,857.41
2026-03-22T14:15:06.4010033+00:00,70,855.68
2026-03-22T14:15:07.2566801+00:00,69,866.93
2026-03-22T14:15:08.1236118+00:00,68,881.86
2026-03-22T14:15:09.0054717+00:00,69,869.68
2026-03-22T14:15:09.8751530+00:00,71,842.79
2026-03-22T14:15:10.7179398+00:00,72,833.80
2026-03-22T14:15:11.5517382+00:00,71,845.21
2026-03-22T14:15:12.3969496+00:00,69,864.03
2026-03-22T14:15:13.2609808+00:00,69,873.48
2026-03-22T14:15:14.1344567+00:00,70,861.43
2026-03-22T14:15:14.9958914+00:00,71,846.28
2026-03-22T14:15:15.8421666+00:00,72,828.73
2026-03-22T14:15:16.6708962+00:00,73,826.02
2026-03-22T14:15:17.4969175+00:00,70,854.86
2026-03-22T14:15:18.3517738+00:00,68,877.22
2026-03-22T14:15:19.2289987+00:00,70,862.08
2026-03-22T14:15:20.0910788+00:00,71,843.40
2026-03-22T14:15:20.9344832+00:00,72,833.60
2026-03-22T14:15:21.7680822+00:00,72,834.55
2026-03-22T14:15:22.6026291+00:00,70,854.00
2026-03-22T14:15:23.4566260+00:00,69,867.85
2026-03-22T14:15:24.3244746+00:00,69,872.46
2026-03-22T14:15:25.1969338+00:00,69,865.04
2026-03-22T14:15:26.0619752+00:00,71,844.02
2026-03-22T14:15:26.9059947+00:00,71,847.15
2026-03-22T14:15:27.7531464+00:00,69,871.75
2026-03-22T14:15:28.6248936+00:00,69,875.43
2026-03-22T14:15:29.5003220+00:00,69,868.86
2026-03-22T14:15:30.3691860+00:00,69,869.59
2026-03-22T14:15:31.2387729+00:00,70,862.57
2026-03-22T14:15:32.1013399+00:00,69,868.96
2026-03-22T14:15:32.9702971+00:00,69,872.21
2026-03-22T14:15:33.8425030+00:00,69,875.07
2026-03-22T14:15:34.7175772+00:00,69,872.31
2026-03-22T14:15:35.5898860+00:00,70,861.98
