timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:43.6563904+00:00,70,857.22
2026-03-22T14:14:44.5136085+00:00,72,835.56
2026-03-22T14:14:45.3491694+00:00,72,827.74
2026-03-22T14:14:46.1769142+00:00,71,845.11
2026-03-22T14:14:47.0220266+00:00,71,843.91
2026-03-22T14:14:47.8659353+00:00,72,831.17
2026-03-22T14:14:48.6971038+00:00,72,832.08
2026-03-22T14:14:49.5291830+00:00,71,849.69
2026-03-22T14:14:50.3788689+00:00,71,841.86
2026-03-22T14:14:51.2207300+00:00,73,821.89
2026-03-22T14:14:52.0426241+00:00,73,819.11
2026-03-22T14:14:52.8617376+00:00,71,839.36
2026-03-22T14:14:53.7010969+00:00,71,840.16
2026-03-22T14:14:54.5412579+00:00,72,828.45
2026-03-22T14:14:55.3697088+00:00,72,828.41
2026-03-22T14:14:56.1981159+00:00,71,842.70
2026-03-22T14:14:57.0408198+00:00,72,835.52
2026-03-22T14:14:57.8763399+00:00,73,820.97
2026-03-22T14:14:58.6973126+00:00,73,823.17
2026-03-22T14:14:59.5204813+00:00,71,845.13
2026-03-22T14:15:00.3656132+00:00,71,846.68
2026-03-22T14:15:01.2122954+00:00,72,834.48
2026-03-22T14:15:02.0467741+00:00,72,832.44
2026-03-22T14:15:02.8792114+00:00,71,845.94
2026-03-22T14:15:03.7251491+00:00,71,841.33
2026-03-22T14:15:04.5664761+00:00,72,832.54
2026-03-22T14:15:05.3990176+00:00,72,837.58
2026-03-22T14:15:06.2365965+00:00,70,857.57
2026-03-22T14:15:07.0941680+00:00,70,854.53
2026-03-22T14:15:07.9486947+00:00,71,840.28
2026-03-22T14:15:08.7889700+00:00,72,837.95
2026-03-22T14:15:09.6269191+00:00,70,851.40
2026-03-22T14:15:10.4783182+00:00,71,848.78
2026-03-22T14:15:11.3271005+00:00,71,842.27
2026-03-22T14:15:12.1693707+00:00,71,846.99
2026-03-22T14:15:13.0163573+00:00,70,860.32
2026-03-22T14:15:13.8766779+00:00,70,851.26
2026-03-22T14:15:14.7279365+00:00,72,835.72
2026-03-22T14:15:15.5636561+00:00,72,836.41
2026-03-22T14:15:16.4000629+00:00,71,850.20
2026-03-22T14:15:17.2502592+00:00,71,848.14
2026-03-22T14:15:18.0984006+00:00,71,839.75
2026-03-22T14:15:18.9381536+00:00,71,841.03
2026-03-22T14:15:19.7791853+00:00,71,848.68
2026-03-22T14:15:20.6278635+00:00,72,838.38
2026-03-22T14:15:21.4662418+00:00,73,825.17
2026-03-22T14:15:22.2914157+00:00,72,829.27
2026-03-22T14:15:23.1206850+00:00,71,844.79
2026-03-22T14:15:23.9654799+00:00,71,842.12
2026-03-22T14:15:24.8076044+00:00,72,830.50
2026-03-22T14:15:25.6381049+00:00,72,828.69
2026-03-22T14:15:26.4667902+00:00,72,836.88
2026-03-22T14:15:27.3036687+00:00,72,831.17
