timestamp_utc,heart_rate_bpm,rr_interval_ms
2026-03-22T14:14:44.9310598+00:00,63,957.59
2026-03-22T14:14:45.8886533+00:00,63,954.44
2026-03-22T14:14:46.8430912+00:00,64,933.69
2026-03-22T14:14:47.7767821+00:00,66,905.76
2026-03-22T14:14:48.6825429+00:00,69,872.09
2026-03-22T14:14:49.5546332+00:00,71,842.92
2026-03-22T14:14:50.3975498+00:00,72,828.20
2026-03-22T14:14:51.2257507+00:00,72,828.71
2026-03-22T14:14:52.0544622+00:00,71,844.78
2026-03-22T14:14:52.8992416+00:00,68,879.29
2026-03-22T14:14:53.7785337+00:00,65,924.42
2026-03-22T14:14:54.7029570+00:00,63,957.82
2026-03-22T14:14:55.6607764+00:00,62,967.10
2026-03-22T14:14:56.6278798+00:00,63,959.06
2026-03-22T14:14:57.5869409+00:00,64,935.51
2026-03-22T14:14:58.5224478+00:00,67,898.72
2026-03-22T14:14:59.4211709+00:00,69,864.47
2026-03-22T14:15:00.2856413+00:00,71,844.04
2026-03-22T14:15:01.1296843+00:00,71,839.77
2026-03-22T14:15:01.9694590+00:00,70,856.60
2026-03-22T14:15:02.8260559+00:00,67,896.20
2026-03-22T14:15:03.7222515+00:00,64,942.73
2026-03-22T14:15:04.6649844+00:00,62,970.17
2026-03-22T14:15:05.6351551+00:00,62,971.40
2026-03-22T14:15:06.6065528+00:00,63,958.13
2026-03-22T14:15:07.5646872+00:00,64,933.99
2026-03-22T14:15:08.4986820+00:00,67,901.29
2026-03-22T14:15:09.3999684+00:00,69,868.58
2026-03-22T14:15:10.2685497+00:00,71,841.24
2026-03-22T14:15:11.1097940+00:00,73,826.85
2026-03-22T14:15:11.9366457+00:00,72,836.97
2026-03-22T14:15:12.7736159+00:00,69,873.86
2026-03-22T14:15:13.6474801+00:00,65,921.23
2026-03-22T14:15:14.5687151+00:00,63,953.34
2026-03-22T14:15:15.5220581+00:00,63,959.73
2026-03-22T14:15:16.4817868+00:00,63,945.47
2026-03-22T14:15:17.4272543+00:00,66,915.51
2026-03-22T14:15:18.3427596+00:00,68,881.47
2026-03-22T14:15:19.2242341+00:00,70,854.09
2026-03-22T14:15:20.0783240+00:00,72,833.21
2026-03-22T14:15:20.9115369+00:00,73,820.60
2026-03-22T14:15:21.7321335+00:00,73,826.71
2026-03-22T14:15:22.5588412+00:00,70,856.94
2026-03-22T14:15:23.4157785+00:00,67,900.16
2026-03-22T14:15:24.3159416+00:00,64,937.76
2026-03-22T14:15:25.2536970+00:00,63,959.88
2026-03-22T14:15:26.2135779+00:00,62,960.89
2026-03-22T14:15:27.1744709+00:00,64,937.76
2026-03-22T14:15:28.1122343+00:00,66,903.87
2026-03-22T14:15:29.0161064+00:00,69,873.56
2026-03-22T14:15:29.8896644+00:00,71,848.32
2026-03-22T14:15:30.7379875+00:00,72,833.60
2026-03-22T14:15:31.5715840+00:00,71,842.34
2026-03-22T14:15:32.4139256+00:00,68,876.26
2026-03-22T14:15:33.2901886+00:00,65,919.73
2026-03-22T14:15:34.2099159+00:00,63,954.62
2026-03-22T14:15:35.1645370+00:00,62,973.22
2026-03-22T14:15:36.1377559+00:00,62,971.79
2026-03-22T14:15:37.1095456+00:00,63,951.13
2026-03-22T14:15:38.0606743+00:00,65,922.41
2026-03-22T14:15:38.9830845+00:00,67,890.56
2026-03-22T14:15:39.8736491+00:00,70,855.77
2026-03-22T14:15:40.7294166+00:00,72,832.25
2026-03-22T14:15:41.5616653+00:00,72,836.16
2026-03-22T14:15:42.3978302+00:00,69,866.99
2026-03-22T14:15:43.2648203+00:00,66,909.85
2026-03-22T14:15:44.1746708+00:00,63,947.52
2026-03-22T14:15:45.1221887+00:00,62,967.00
2026-03-22T14:15:46.0891929+00:00,63,958.73
2026-03-22T14:15:47.0479272+00:00,65,929.54
2026-03-22T14:15:47.9774710+00:00,67,899.54
2026-03-22T14:15:48.8770083+00:00,69,872.47
